instance,solution
100_20_01,1817445.8
100_20_02,1840513.0
100_20_03,1693959.8
100_20_04,1973824.2
100_20_05,1573726.4
100_20_06,1693585.2
100_20_07,1810701.8
100_20_08,1791062.2
100_20_09,1866201.4
100_20_10,1692779.6
100_20_11,1859442.0
100_20_12,1728419.4
100_20_13,1749648.0
100_20_14,1736751.0
100_20_15,1483448.8
100_20_16,1885614.2
100_20_17,1804443.0
100_20_18,1844455.0
100_20_19,1712026.0
100_20_20,1832424.4
100_20_21,1748490.0
100_20_22,1770253.0
100_20_23,1816126.6
100_20_24,1723317.8
100_20_25,1750441.0
100_20_26,1596723.6
100_20_27,1899822.8
100_20_28,1762223.8
100_20_29,2045439.8
100_20_30,1792276.0
