instance,solution
100_20_01,1827204.8
100_20_02,1844069.4
100_20_03,1723960.2
100_20_04,1987956.4
100_20_05,1581397.4
100_20_06,1703512.2
100_20_07,1827041.4
100_20_08,1793128.2
100_20_09,1890285.2
100_20_10,1702607.2
100_20_11,1866939.6
100_20_12,1730204.4
100_20_13,1757255.0
100_20_14,1759030.6
100_20_15,1487447.0
100_20_16,1889423.0
100_20_17,1828515.4
100_20_18,1863133.4
100_20_19,1730307.0
100_20_20,1844256.8
100_20_21,1744943.0
100_20_22,1780458.2
100_20_23,1825830.6
100_20_24,1745201.0
100_20_25,1758850.2
100_20_26,1613869.8
100_20_27,1901488.2
100_20_28,1779525.6
100_20_29,2040241.6
100_20_30,1807751.8
50_20_01,607537.0
50_20_02,629327.2
50_20_03,601107.4
50_20_04,677167.4
50_20_05,659268.6
50_20_06,652570.4
50_20_07,575344.4
50_20_08,541722.0
50_20_09,580761.8
50_20_10,607671.0
50_20_11,614548.8
50_20_12,594161.4
50_20_13,557969.8
50_20_14,581256.4
50_20_15,603477.6
50_20_16,559576.4
50_20_17,654763.8
50_20_18,639565.4
50_20_19,475982.8
50_20_20,574431.8
50_20_21,638726.8
50_20_22,653350.8
50_20_23,611028.4
50_20_24,559734.0
50_20_25,603630.6
50_20_26,607070.8
50_20_27,572948.6
50_20_28,556372.4
50_20_29,552881.0
50_20_30,513854.6
