instance,solution
100_20_01,1835537.0
100_20_02,1862569.2
100_20_03,1726346.0
100_20_04,2004919.0
100_20_05,1597815.0
100_20_06,1707421.4
100_20_07,1844294.4
100_20_08,1818973.0
100_20_09,1925546.4
100_20_10,1718234.0
100_20_11,1874603.6
100_20_12,1748377.4
100_20_13,1765757.8
100_20_14,1777302.6
100_20_15,1502473.0
100_20_16,1911900.6
100_20_17,1828342.2
100_20_18,1885803.8
100_20_19,1740056.6
100_20_20,1856469.6
100_20_21,1767922.6
100_20_22,1801542.0
100_20_23,1843101.6
100_20_24,1757188.6
100_20_25,1774456.8
100_20_26,1625136.8
100_20_27,1924976.6
100_20_28,1807277.2
100_20_29,2069188.4
100_20_30,1815315.6
50_20_01,608842.4
50_20_02,638614.2
50_20_03,604965.0
50_20_04,677589.6
50_20_05,669714.2
50_20_06,653981.2
50_20_07,575205.0
50_20_08,540957.4
50_20_09,586534.0
50_20_10,609986.4
50_20_11,615356.6
50_20_12,593191.8
50_20_13,560586.2
50_20_14,583792.2
50_20_15,609617.6
50_20_16,557886.2
50_20_17,653924.0
50_20_18,640860.2
50_20_19,475854.4
50_20_20,575738.2
50_20_21,636837.0
50_20_22,656787.0
50_20_23,609836.2
50_20_24,560849.0
50_20_25,597129.2
50_20_26,608299.2
50_20_27,574278.6
50_20_28,558389.8
50_20_29,557076.6
50_20_30,515016.0
