instance,solution
100_20_01,1821253.8
100_20_02,1837666.4
100_20_03,1691569.0
100_20_04,1982647.0
100_20_05,1575975.4
100_20_06,1700360.4
100_20_07,1812499.4
100_20_08,1788806.2
100_20_09,1865103.6
100_20_10,1688074.6
100_20_11,1859442.0
100_20_12,1731292.2
100_20_13,1751482.0
100_20_14,1741139.0
100_20_15,1481076.0
100_20_16,1888303.4
100_20_17,1804255.6
100_20_18,1845411.0
100_20_19,1712026.0
100_20_20,1826270.8
100_20_21,1748029.2
100_20_22,1770932.0
100_20_23,1821620.0
100_20_24,1723583.0
100_20_25,1746118.0
100_20_26,1601949.6
100_20_27,1904505.6
100_20_28,1770374.4
100_20_29,2038414.6
100_20_30,1794416.8
