instance,solution
100_20_01,1820223.0
100_20_02,1840458.6
100_20_03,1690812.2
100_20_04,1981784.2
100_20_05,1573669.0
100_20_06,1693353.6
100_20_07,1812729.4
100_20_08,1788305.4
100_20_09,1865644.8
100_20_10,1693178.0
100_20_11,1859442.0
100_20_12,1728517.4
100_20_13,1751789.2
100_20_14,1740084.4
100_20_15,1486230.4
100_20_16,1886789.6
100_20_17,1802551.4
100_20_18,1843711.2
100_20_19,1712026.0
100_20_20,1830244.6
100_20_21,1748226.2
100_20_22,1769459.6
100_20_23,1817485.2
100_20_24,1724391.4
100_20_25,1746421.4
100_20_26,1603227.2
100_20_27,1903165.8
100_20_28,1765002.4
100_20_29,2046877.6
100_20_30,1788583.8
50_20_01,601972.8
50_20_02,627936.6
50_20_03,596545.2
50_20_04,672043.6
50_20_05,661755.6
50_20_06,648416.6
50_20_07,572348.2
50_20_08,538606.8
50_20_09,579831.0
50_20_10,603815.4
50_20_11,611685.6
50_20_12,588375.4
50_20_13,557941.6
50_20_14,576369.8
50_20_15,600395.8
50_20_16,554835.2
50_20_17,651850.2
50_20_18,637416.2
50_20_19,468184.8
50_20_20,569733.0
50_20_21,627307.0
50_20_22,651620.4
50_20_23,609891.0
50_20_24,557039.6
50_20_25,592088.2
50_20_26,606446.4
50_20_27,569287.0
50_20_28,553759.2
50_20_29,550320.6
50_20_30,510823.4
