instance,solution
100_20_01,1829145.6
100_20_02,1856027.8
100_20_03,1727118.2
100_20_04,1998918.0
100_20_05,1583884.2
100_20_06,1715116.4
100_20_07,1838768.0
100_20_08,1807576.8
100_20_09,1903177.4
100_20_10,1704492.0
100_20_11,1867969.4
100_20_12,1746055.6
100_20_13,1763954.4
100_20_14,1771787.4
100_20_15,1501370.6
100_20_16,1904349.2
100_20_17,1837227.6
100_20_18,1887674.0
100_20_19,1728140.4
100_20_20,1853284.8
100_20_21,1775292.6
100_20_22,1795839.4
100_20_23,1836109.2
100_20_24,1756216.8
100_20_25,1770828.2
100_20_26,1613698.2
100_20_27,1907388.2
100_20_28,1793801.2
100_20_29,2060393.0
100_20_30,1818636.6
50_20_01,604987.8
50_20_02,631159.4
50_20_03,602866.0
50_20_04,676146.0
50_20_05,661952.0
50_20_06,649753.6
50_20_07,574271.6
50_20_08,541425.0
50_20_09,580753.8
50_20_10,608836.6
50_20_11,612923.2
50_20_12,591313.8
50_20_13,559654.0
50_20_14,585038.8
50_20_15,601831.8
50_20_16,557431.4
50_20_17,655662.4
50_20_18,639630.2
50_20_19,470277.2
50_20_20,573417.6
50_20_21,632307.2
50_20_22,655204.0
50_20_23,611304.6
50_20_24,558362.4
50_20_25,600657.4
50_20_26,610566.8
50_20_27,572513.6
50_20_28,555390.6
50_20_29,554168.6
50_20_30,515623.0
