instance,solution
50_20_01,602241.6
50_20_02,628253.4
50_20_03,596403.6
50_20_04,673307.2
50_20_05,661514.2
50_20_06,647476.8
50_20_07,573367.8
50_20_08,537397.2
50_20_09,580286.6
50_20_10,603666.4
50_20_11,610002.2
50_20_12,587794.8
50_20_13,558263.2
50_20_14,578449.8
50_20_15,599135.0
50_20_16,554740.6
50_20_17,650472.0
50_20_18,636807.0
50_20_19,468632.8
50_20_20,570619.4
50_20_21,627822.6
50_20_22,651562.2
50_20_23,610217.2
50_20_24,555841.2
50_20_25,593097.2
50_20_26,605247.0
50_20_27,568616.6
50_20_28,553966.8
50_20_29,550621.0
50_20_30,511251.8
