instance,solution
100_20_01,1822437.6
100_20_02,1837067.0
100_20_03,1692189.2
100_20_04,1975837.6
100_20_05,1571853.2
100_20_06,1691661.6
100_20_07,1812556.2
100_20_08,1793975.0
100_20_09,1866698.2
100_20_10,1691518.8
100_20_11,1859442.0
100_20_12,1730185.4
100_20_13,1750937.6
100_20_14,1738647.2
100_20_15,1482407.0
100_20_16,1881500.8
100_20_17,1803646.0
100_20_18,1845931.0
100_20_19,1712026.0
100_20_20,1829987.6
100_20_21,1746313.6
100_20_22,1769394.0
100_20_23,1824452.0
100_20_24,1731028.2
100_20_25,1750978.0
100_20_26,1597009.8
100_20_27,1894931.0
100_20_28,1764686.0
100_20_29,2038616.2
100_20_30,1791404.8
