instance,solution
50_20_01,604813.2
50_20_02,629616.8
50_20_03,597029.6
50_20_04,674303.2
50_20_05,662205.6
50_20_06,648851.6
50_20_07,572729.8
50_20_08,538117.6
50_20_09,581032.8
50_20_10,604504.6
50_20_11,610337.8
50_20_12,588246.0
50_20_13,557833.4
50_20_14,578115.4
50_20_15,600501.0
50_20_16,555452.4
50_20_17,651285.0
50_20_18,636298.0
50_20_19,467442.4
50_20_20,571049.8
50_20_21,627142.2
50_20_22,650305.2
50_20_23,609542.4
50_20_24,556161.0
50_20_25,594151.4
50_20_26,606215.0
50_20_27,568051.8
50_20_28,553238.8
50_20_29,550813.0
50_20_30,511374.0
