instance,solution
100_20_01,2316434.6
100_20_02,2328778.8
100_20_03,2282303.8
100_20_04,2549690.8
100_20_05,2090718.8
100_20_06,2232621.2
100_20_07,2391029.8
100_20_08,2333390.2
100_20_09,2396971.6
100_20_10,2184148.0
100_20_11,2380383.0
100_20_12,2310647.4
100_20_13,2274346.6
100_20_14,2269448.6
100_20_15,2010024.6
100_20_16,2394259.4
100_20_17,2340832.4
100_20_18,2445393.8
100_20_19,2299820.4
100_20_20,2373473.8
100_20_21,2259596.6
100_20_22,2291379.0
100_20_23,2373999.6
100_20_24,2278414.0
100_20_25,2313093.0
100_20_26,2148903.0
100_20_27,2475954.6
100_20_28,2360052.4
100_20_29,2593412.8
100_20_30,2309202.6
50_20_01,710669.6
50_20_02,746224.8
50_20_03,722049.2
50_20_04,798892.2
50_20_05,784653.6
50_20_06,763427.8
50_20_07,696684.2
50_20_08,637193.2
50_20_09,687439.4
50_20_10,730546.4
50_20_11,699028.6
50_20_12,704299.0
50_20_13,658496.6
50_20_14,701928.8
50_20_15,700974.8
50_20_16,655441.4
50_20_17,772015.6
50_20_18,738259.8
50_20_19,571645.8
50_20_20,675597.0
50_20_21,736957.6
50_20_22,742690.6
50_20_23,697518.4
50_20_24,669580.2
50_20_25,698814.2
50_20_26,719015.0
50_20_27,694192.8
50_20_28,663355.6
50_20_29,660336.6
50_20_30,614592.8
