instance,solution
100_20_01,1855401.0
100_20_02,1871005.8
100_20_03,1751244.4
100_20_04,2019131.0
100_20_05,1614128.0
100_20_06,1726353.0
100_20_07,1858479.4
100_20_08,1832480.4
100_20_09,1941412.4
100_20_10,1735997.4
100_20_11,1908447.8
100_20_12,1764310.6
100_20_13,1789489.6
100_20_14,1786334.8
100_20_15,1516263.2
100_20_16,1935485.2
100_20_17,1853281.0
100_20_18,1915434.2
100_20_19,1759253.6
100_20_20,1874278.2
100_20_21,1801361.4
100_20_22,1820745.0
100_20_23,1874207.6
100_20_24,1778357.0
100_20_25,1784447.8
100_20_26,1640764.2
100_20_27,1955228.0
100_20_28,1829940.8
100_20_29,2096165.2
100_20_30,1841330.4
50_20_01,614496.0
50_20_02,647673.6
50_20_03,612507.4
50_20_04,687954.4
50_20_05,691377.4
50_20_06,669664.2
50_20_07,585997.4
50_20_08,546627.6
50_20_09,594910.8
50_20_10,618782.6
50_20_11,620873.2
50_20_12,597984.2
50_20_13,579378.2
50_20_14,595316.8
50_20_15,620798.2
50_20_16,566339.6
50_20_17,666084.6
50_20_18,646904.4
50_20_19,479793.0
50_20_20,579820.2
50_20_21,643023.6
50_20_22,670015.8
50_20_23,622059.4
50_20_24,568894.0
50_20_25,610570.4
50_20_26,620165.2
50_20_27,580960.8
50_20_28,562446.0
50_20_29,568867.2
50_20_30,526482.4
