instance,solution
50_20_01,603646.6
50_20_02,630064.6
50_20_03,595362.4
50_20_04,673636.6
50_20_05,662085.2
50_20_06,649490.4
50_20_07,573393.6
50_20_08,536705.4
50_20_09,578793.6
50_20_10,605011.2
50_20_11,609447.6
50_20_12,588674.0
50_20_13,557405.8
50_20_14,576739.8
50_20_15,600384.4
50_20_16,554117.8
50_20_17,652492.2
50_20_18,637154.4
50_20_19,467740.4
50_20_20,571540.6
50_20_21,630005.2
50_20_22,651003.6
50_20_23,607572.6
50_20_24,555801.4
50_20_25,592957.8
50_20_26,607682.2
50_20_27,569973.6
50_20_28,554600.4
50_20_29,551746.8
50_20_30,511069.2
