instance,solution
100_20_01,1852712.6
100_20_02,1866672.0
100_20_03,1745560.6
100_20_04,2013163.4
100_20_05,1612909.4
100_20_06,1730224.6
100_20_07,1849873.4
100_20_08,1826498.6
100_20_09,1938523.6
100_20_10,1735879.4
100_20_11,1910270.8
100_20_12,1759044.4
100_20_13,1786080.8
100_20_14,1783241.8
100_20_15,1514853.2
100_20_16,1929108.4
100_20_17,1850704.4
100_20_18,1915688.0
100_20_19,1753127.8
100_20_20,1872218.8
100_20_21,1794001.2
100_20_22,1817719.4
100_20_23,1869375.8
100_20_24,1777694.6
100_20_25,1784194.0
100_20_26,1642361.4
100_20_27,1944523.8
100_20_28,1825591.4
100_20_29,2092575.0
100_20_30,1836941.6
50_20_01,614025.0
50_20_02,646642.8
50_20_03,611481.0
50_20_04,686136.8
50_20_05,684791.2
50_20_06,667977.4
50_20_07,581951.0
50_20_08,545769.8
50_20_09,591312.6
50_20_10,616701.4
50_20_11,619289.6
50_20_12,595956.8
50_20_13,573021.8
50_20_14,592876.0
50_20_15,615345.0
50_20_16,564591.4
50_20_17,659925.2
50_20_18,644967.6
50_20_19,477669.4
50_20_20,581262.0
50_20_21,641456.2
50_20_22,666262.2
50_20_23,618955.6
50_20_24,567541.4
50_20_25,609837.6
50_20_26,620086.2
50_20_27,578525.0
50_20_28,563380.0
50_20_29,567065.4
50_20_30,525749.2
