time,solution
0.651738,616002
0.732823,615427
1.071837,615158
1.590548,614766
2.040749,613648
2.880398,613349
4.004308,612747
4.679238000000001,612317
5.91934,611943
7.1984390000000005,611941
8.576749,611738
9.932583000000001,611452
11.371738,608689
12.406237,608090
14.125377,608074
15.853719,608052
17.639723999999998,607489
19.567845,607433
21.461878,607386
264.921845,607208
266.33637699999997,607102
330.293201,606891
330.508497,606771
331.207819,605930
332.086961,604887
333.460481,604386
334.926291,604295
336.372202,603919
336.784895,603786
337.805631,603709
338.804104,603620
340.401418,603485
342.089398,603398
493.328312,603384
494.874696,603293
496.554661,603246
498.17706,603164
499.89174099999997,603160
501.629258,602793
503.243019,602704
504.888745,602557
506.537632,602377
508.50131,602174
509.38656299999997,601638
510.244286,600761
511.734587,600576
513.239941,600402
515.0915180000001,600335
516.7909960000001,600325
584.00644,600255
586.044746,600226
587.860987,600221
