time,solution
0.711777,650495
0.9228379999999999,649903
1.220119,649522
1.431473,648695
1.6493229999999999,647104
1.860084,645286
1.867492,644988
2.373907,644359
2.505392,644139
2.843899,643159
3.140837,643018
3.413277,642607
3.420852,642367
3.84189,641391
3.977214,640864
4.276766,640352
4.881369,637666
5.669535,637529
6.445253,634478
6.694354,633603
7.511193,633555
8.334008,633545
9.151304,633456
10.191616999999999,633264
11.284422,633182
12.402292,632673
13.595265,632631
14.759876,631745
16.038866,631348
17.493971,631148
19.277124,631066
538.9394900000001,630951
539.866665,630182
540.850997,629949
541.725086,629457
543.145571,629357
