time,solution
0.7180449999999999,650495
0.929552,649903
1.228782,649522
1.660041,648024
1.87057,646206
1.877907,645908
2.383885,645279
2.517139,645059
8.053780999999999,643727
9.018832,636385
9.021303,635000
10.142494,634853
11.578873999999999,634778
13.075128,634739
14.534524,634579
15.878156,634444
17.045929,634396
26.703193,634330
28.671756,634321
30.718388,634312
32.635464,634311
34.624378,634297
76.842403,634249
77.73883500000001,634004
78.61282200000001,633915
79.49427800000001,633914
80.439321,633625
81.46825500000001,633436
111.57174300000001,632913
111.701941,632767
112.040908,631581
113.66103700000001,631538
115.328011,631431
116.937645,631369
249.939357,631111
251.656836,631098
253.419333,630988
255.075309,630980
256.95258800000005,630915
258.628464,630909
260.47706100000005,630829
262.22961200000003,630821
264.092797,630779
265.885334,630765
267.595841,630744
314.888341,630682
314.97811900000005,629885
315.31212400000004,628835
316.706695,628498
318.15006600000004,628263
319.560196,628045
320.28790300000003,628003
321.908648,627952
323.201764,627933
542.21835,627884
544.1500699999999,627867
