time,solution
0.718375,650495
0.926019,649903
1.2260870000000001,649522
1.4389100000000001,648695
1.653661,647104
1.86115,645286
1.8685280000000002,644988
2.373166,644359
2.506092,644139
2.842943,643159
3.139805,643018
3.412286,642607
3.4201710000000003,642367
3.8470180000000003,641391
3.981352,640864
4.279044,640352
4.8792219999999995,637666
5.665432,637529
6.433523999999999,634478
6.6867,633603
7.503794999999999,633555
8.315809,633545
9.132291,633456
10.171137,633264
11.25254,633182
12.367416,632673
13.562612,632631
14.721879,631745
15.992612000000001,631348
17.436416,631148
19.222386,631066
179.331741,631016
180.457152,630821
182.37659,630751
706.154236,630657
748.789892,630558
750.235389,630213
