time,solution
0.7155360000000001,650495
0.9250419999999999,649903
1.223909,649522
1.431795,648695
1.6465,647104
1.848874,645286
1.856138,644988
2.356181,644359
2.488838,644139
2.824902,643159
3.124761,643018
3.392726,642607
3.398531,642367
3.820406,641391
3.952511,640864
4.250247999999999,640352
4.850346999999999,637666
5.635587999999999,637529
6.407031999999999,634478
6.655298999999999,633603
7.4625379999999994,633555
8.827242,633227
9.12476,632888
9.809858,632592
10.635888999999999,631599
61.473791,631493
62.759966999999996,631230
64.091894,630824
65.026362,630487
108.33785,630339
108.671703,627799
110.360783,627622
112.109491,627580
113.945294,627518
115.788941,627385
117.151621,627380
118.51995,627332
119.913134,627297
121.226569,627133
123.052958,627124
124.871004,627088
126.716258,626997
299.629452,626863
300.953366,626457
302.732154,626419
304.773652,626409
306.828068,626405
