time,solution
0.6838839999999999,616002
0.7649689999999999,615427
1.148228,615158
1.744569,614766
2.264367,613648
3.213679,613349
4.483086999999999,612747
5.225565,612317
6.451381,611943
7.712378999999999,611941
9.116624,611738
10.459213,611452
11.914921000000001,608689
12.94584,608090
14.6159,608074
16.342077,608052
18.126307,607489
20.047874999999998,607433
21.948338999999997,607386
150.99865,607280
153.081705,607252
221.444256,606915
221.708087,606770
223.484327,606762
227.08858,606729
227.154501,606640
228.252149,606407
229.228568,606217
230.483426,605564
231.83335,605470
233.171762,604924
234.923237,604901
236.681453,604877
724.783949,604756
726.3838870000001,604463
727.9317520000001,604081
729.5381520000001,603995
731.2021510000001,603649
733.01305,603591
735.010071,603568
736.9351790000001,603483
738.955688,603464
740.894949,603448
743.0148750000001,603433
744.538796,603414
746.202387,603357
747.774118,603259
749.252618,603105
750.700381,603070
752.383372,603059
753.988274,602989
755.35609,602884
756.4471570000001,602655
758.420146,602614
760.0690020000001,602466
762.027233,602437
763.996427,602290
933.111666,602219
934.9110370000001,602131
