instance,solution
100_20_01,2278617.6
100_20_02,2290046.4
100_20_03,2239878.2
100_20_04,2499481.4
100_20_05,2014945.8
100_20_06,2154606.2
100_20_07,2408182.0
100_20_08,2283996.0
100_20_09,2304942.4
100_20_10,2129040.8
100_20_11,2355940.6
100_20_12,2219535.6
100_20_13,2235472.2
100_20_14,2240484.6
100_20_15,1933938.4
100_20_16,2340147.4
100_20_17,2321864.0
100_20_18,2361551.2
100_20_19,2245470.8
100_20_20,2316307.6
100_20_21,2209474.8
100_20_22,2218357.4
100_20_23,2301949.0
100_20_24,2285599.6
100_20_25,2275755.8
100_20_26,2090645.0
100_20_27,2343774.4
100_20_28,2287907.8
100_20_29,2528011.6
100_20_30,2241100.2
50_20_01,682518.6
50_20_02,722981.6
50_20_03,680131.4
50_20_04,762793.6
50_20_05,750037.2
50_20_06,721414.6
50_20_07,661133.6
50_20_08,606272.2
50_20_09,649630.2
50_20_10,689642.0
50_20_11,694158.0
50_20_12,678525.4
50_20_13,624637.4
50_20_14,679193.6
50_20_15,664515.2
50_20_16,637944.0
50_20_17,750314.6
50_20_18,733674.0
50_20_19,546938.4
50_20_20,660592.6
50_20_21,698595.0
50_20_22,713546.2
50_20_23,694347.4
50_20_24,648485.4
50_20_25,677922.4
50_20_26,690432.2
50_20_27,654202.8
50_20_28,639528.2
50_20_29,632860.0
50_20_30,592966.6
