time,solution
0.7326320000000001,650495
0.9452800000000001,649903
1.247581,649522
1.462758,648695
1.68271,647104
1.8956609999999998,645286
1.9030340000000001,644988
2.408584,644359
34.517429,643817
34.647088000000004,643466
34.825432,642847
35.125763,641040
35.51361,640559
35.844784,640118
36.899032,639941
37.969015,639478
38.016027,639336
38.110826,638884
38.20441,637925
38.815458,637638
39.992225,637278
41.0851,637242
42.25436,637035
43.412068,636720
44.548564,636719
45.693783,636478
47.086589000000004,636259
48.532341,635988
49.967525,635799
51.52863,635512
52.883649,635308
54.579212,635117
56.349222,635079
58.145345,635038
59.826206,634768
61.405171,634663
63.178766,634604
81.169288,634375
81.68823099999999,633615
81.82709399999999,633249
82.26193199999999,632817
82.728488,632337
83.761833,632226
84.943822,632165
86.15749199999999,632081
87.567223,631970
198.123277,631920
200.01667700000002,631860
201.917311,631854
203.77741,631845
776.720595,631471
778.3222999999999,631164
779.62259,630976
781.1114709999999,630465
782.674856,630268
784.315036,630257
785.900972,630092
787.605686,630037
789.296233,629949
791.203676,629940
792.928627,629890
795.031555,629873
