time,solution
0.298797,616002
0.33398300000000003,615427
0.48284499999999997,615158
0.7155779999999999,614766
0.922057,613648
1.2940669999999999,613349
1.7909439999999999,612747
2.089629,612317
2.576745,611943
3.065917,611941
3.634954,611738
4.174303,611452
4.737481000000001,608689
5.1425220000000005,608090
5.812064,608074
6.485447000000001,608052
7.1839770000000005,607489
7.938246,607433
8.68491,607386
38.501813,607292
38.691900999999994,607207
38.841730999999996,606351
39.343556,606343
39.826550999999995,605774
40.141788999999996,604725
41.661136,603951
42.144912,603658
42.71559,603568
43.312875999999996,602560
43.682868,602168
44.082173,601952
44.629641,601935
45.220648,601923
45.738620999999995,601902
46.336697,601840
46.922083,601786
47.508596999999995,601653
47.958852,601488
48.490474999999996,601406
49.107488,601394
49.694077,601298
50.277246999999996,601042
50.823724,601007
