time,solution
0.726117,650495
0.9384589999999999,649903
1.237347,649522
1.451555,648695
1.667879,647104
1.879391,645286
1.886816,644988
2.397075,644359
2.531136,644139
2.8683240000000003,643159
3.1702719999999998,643018
3.4448420000000004,642607
3.4524559999999997,642367
3.8839819999999996,641391
4.019035000000001,640864
4.313694,640352
4.921155000000001,637666
5.708305,637529
6.489196000000001,634478
6.743264,633603
7.5681210000000005,633555
8.396237000000001,633545
9.209340000000001,633456
10.244445,633264
11.349337,633182
12.472045,632673
13.671583,632631
14.845876,631745
16.138212,631348
17.598141,631148
19.383187999999997,631066
330.36447899999996,630459
331.718252,630438
333.314029,630156
335.069015,630124
336.72538099999997,630065
338.47077099999996,630025
339.114441,630013
340.91738499999997,630010
342.755244,629995
344.71023199999996,629946
346.539107,629939
348.41851199999996,629908
350.227406,629878
352.081572,629860
353.839188,629853
355.248469,629829
356.70621,629807
357.33557199999996,629794
359.06669,629677
359.716279,629669
361.501719,629582
363.18852899999996,629495
376.336137,629482
378.166201,629367
380.017988,629324
