time,solution
0.640081,616002
0.717298,615427
1.045164,615158
1.5507119999999999,614766
1.992559,613648
2.800656,613349
3.897207,612747
4.553812,612317
5.754947,611943
7.007443,611941
8.365502,611738
9.678019,611452
11.085872,608689
12.085043,608090
13.749642,608074
15.419684,608052
17.176493,607489
19.061287,607433
20.899016,607386
149.148812,607287
150.91215499999998,607274
152.939529,607240
237.783039,607158
238.823873,606765
239.89622699999998,606690
240.40460199999998,605962
241.486485,605752
242.43410599999999,605202
243.340487,604546
244.743483,604535
245.599445,604358
246.885202,603903
246.95772699999998,603890
247.92273999999998,603642
248.814958,602945
250.319631,602918
251.99379199999998,602873
253.67890699999998,602739
255.251373,602573
257.149824,602566
258.983307,602562
260.836424,602458
262.537013,602355
264.359375,602210
266.156352,602209
267.833587,602126
269.898697,602120
271.917257,602054
273.85049100000003,602020
275.912768,601992
395.579118,601926
396.632109,601860
397.719722,601773
399.714509,601697
401.470613,601636
