time,solution
0.70901,650495
0.916466,649903
1.215269,649522
1.426003,648695
1.643594,647104
1.849436,645286
1.856759,644988
2.356672,644359
2.489436,644139
2.824739,643159
3.123092,643018
3.391822,642607
3.399404,642367
3.825389,641391
3.958781,640864
9.3445,640544
9.925027,640135
10.786969,639072
10.787844,638677
11.419349,637435
12.826764,636475
13.989583,636104
15.36164,635943
16.269388999999997,635715
17.071236,635004
17.909708,634974
18.245770999999998,634618
19.291200999999997,634511
20.360145,634404
21.546363,634010
22.954622999999998,633947
177.563725,633887
179.160005,633735
180.857251,633647
182.345901,633571
184.029307,633426
185.142333,633084
360.84605600000003,632917
362.45464400000003,632852
364.087535,632791
365.742362,632673
367.40334900000005,632623
369.114322,632435
370.785974,632105
372.58979200000005,631999
374.60114300000004,631921
618.6029189999999,629916
619.747769,629908
621.12875,628343
647.265398,627947
648.991167,627873
904.174726,627800
905.629271,627727
906.783743,627578
908.160099,627507
908.8445439999999,627491
910.6538029999999,627457
911.8926759999999,627447
912.4904379999999,627113
914.273423,627084
916.084491,627028
