time,solution
0.639157,616002
0.717101,615427
1.0477949999999998,615158
1.5515539999999999,614766
1.991812,613648
2.795409,613349
3.8947819999999997,612747
4.552951,612317
5.736274000000001,611943
6.985288000000001,611941
8.325175999999999,611738
9.628613999999999,611452
11.028815999999999,608689
12.033854999999999,608090
13.700044,608074
15.360244,608052
17.106652999999998,607489
18.98546,607433
20.815689,607386
121.571465,607278
122.822237,606988
124.072777,606980
125.27684400000001,606259
126.93949500000001,606153
128.599535,605937
130.51372,605728
132.39900699999998,605693
133.913971,605576
135.550464,605549
137.343248,605543
139.213104,605328
140.605458,605323
369.98929499999997,605100
371.756395,605033
372.835188,604969
374.451747,604899
376.225432,604627
377.67618,604545
379.319028,604493
379.96056,604263
381.618673,604216
383.243054,603911
384.79281,603795
385.82908299999997,603741
387.417891,603666
388.941553,603406
389.75696899999997,603391
390.834534,603219
391.93390899999997,602782
392.732666,602656
393.917045,602566
395.123134,602333
396.357358,601883
421.480742,601776
423.048183,601730
424.630985,601720
426.096895,601680
427.663297,601598
429.218208,601579
431.119984,601463
432.94881,601455
433.973882,601398
435.51908199999997,601362
437.233474,601064
438.933856,600998
440.691078,600994
442.300496,600934
444.061952,600710
