time,solution
0.723076,650495
0.931029,649903
1.230218,649522
1.4420419999999998,648695
1.6592399999999998,647104
1.8686099999999999,645286
1.8759379999999999,644988
2.3738680000000003,644359
2.5066110000000004,644139
2.836976,643159
3.132733,643018
3.400917,642607
3.408475,642367
3.820297,641391
3.952857,640864
4.251473,640352
4.8525480000000005,637666
5.637475,637529
6.404758,634478
6.650042,633603
7.466321,633555
8.281014,633545
9.098075,633456
21.88009,633193
23.033026,632178
24.202392,631787
25.3892,631424
26.894962,631055
28.341685,630934
29.924602999999998,630858
31.228071999999997,630837
32.642126999999995,630522
34.050744,630153
35.766988,630085
37.485189999999996,629914
39.358588999999995,629795
41.226734,629759
43.230747,629692
312.42499799999996,629577
441.366024,629254
442.702211,629224
457.87393799999995,628928
459.587655,628810
461.201983,628766
462.947549,628760
464.64142699999996,628740
466.289498,628642
467.559827,628640
469.36848299999997,628631
471.034165,628630
472.955268,628607
474.500159,628592
476.23342299999996,628524
477.965022,628478
479.79338099999995,628465
481.58286899999996,628427
482.92762,628132
484.47213899999997,628076
486.33063799999996,628026
487.865551,627999
489.54936599999996,627888
491.214337,627842
492.840061,627752
494.422581,627647
496.102152,627642
497.75883,627591
499.374038,627457
501.320747,627449
503.269587,627430
602.513587,627072
602.897439,626865
603.688579,626753
604.421802,626740
605.769464,626679
607.502702,626673
608.953127,626657
609.96091,626632
610.826515,626332
611.608837,625977
613.2176939999999,625944
614.852878,625698
616.639783,625664
618.261987,625659
620.057147,625610
621.864948,625565
623.579103,625540
