time,solution
0.670999,616002
0.753925,615427
1.127499,615158
1.7125080000000001,614766
2.2221610000000003,613648
3.159503,613349
4.403906,612747
5.126085,612317
6.32772,611943
7.557488,611941
8.944339,611738
10.262262,611452
11.681135,608689
12.701581999999998,608090
14.351913999999999,608074
16.041693,608052
17.799122,607489
19.669325999999998,607433
21.546747,607386
60.422703000000006,607232
60.774191,607005
96.48413099999999,606632
97.143783,606094
98.452636,605811
98.593167,605546
100.509394,605484
102.19817499999999,605439
102.896129,605360
104.468552,605253
104.620104,605189
106.31910099999999,605151
618.822482,605055
620.044443,604980
621.99635,604762
623.901285,604748
625.859767,604517
627.768577,604483
629.153133,604473
630.391988,604247
632.135967,604241
634.054211,604195
635.986693,604165
637.887125,604158
639.505272,604114
641.0628839999999,604024
643.047855,603998
645.052397,603964
733.037855,603748
734.277349,603697
735.467623,603439
736.868222,603094
738.299404,602903
739.855721,602660
741.578362,602547
743.313538,602430
745.153446,602375
746.954903,602330
748.699338,602127
750.47356,602111
752.382781,602002
