instance,solution
50_20_01,603866.8
50_20_02,629337.4
50_20_03,596681.4
50_20_04,674602.4
50_20_05,661167.2
50_20_06,648282.8
50_20_07,573243.0
50_20_08,537186.8
50_20_09,578692.4
50_20_10,605284.4
50_20_11,610342.2
50_20_12,588545.0
50_20_13,557829.4
50_20_14,578221.4
50_20_15,600075.2
50_20_16,555487.0
50_20_17,652234.8
50_20_18,637145.0
50_20_19,468524.2
50_20_20,571016.6
50_20_21,628966.0
50_20_22,649780.4
50_20_23,609884.2
50_20_24,556102.0
50_20_25,592775.2
50_20_26,606428.2
50_20_27,568520.6
50_20_28,553925.4
50_20_29,550798.8
50_20_30,511236.6
