instance,solution
100_20_01,1819643.0
100_20_02,1839920.0
100_20_03,1693529.4
100_20_04,1979012.8
100_20_05,1573185.8
100_20_06,1698103.4
100_20_07,1806004.2
100_20_08,1788262.0
100_20_09,1866476.6
100_20_10,1690664.0
100_20_11,1859442.0
100_20_12,1725398.4
100_20_13,1751222.4
100_20_14,1739857.8
100_20_15,1480660.8
100_20_16,1889445.4
100_20_17,1801496.0
100_20_18,1845426.2
100_20_19,1712026.0
100_20_20,1832073.6
100_20_21,1746880.0
100_20_22,1765275.0
100_20_23,1820220.4
100_20_24,1733171.0
100_20_25,1746075.2
100_20_26,1598026.8
100_20_27,1900091.2
100_20_28,1760363.6
100_20_29,2038102.6
100_20_30,1797174.8
50_20_01,603897.8
50_20_02,628597.0
50_20_03,597693.4
50_20_04,674679.0
50_20_05,661258.0
50_20_06,649050.2
50_20_07,572140.6
50_20_08,536938.6
50_20_09,578886.0
50_20_10,604942.6
50_20_11,610493.4
50_20_12,589606.4
50_20_13,557885.6
50_20_14,580646.0
50_20_15,600090.6
50_20_16,554752.8
50_20_17,651645.6
50_20_18,637726.4
50_20_19,469919.8
50_20_20,571499.8
50_20_21,628375.0
50_20_22,651319.0
50_20_23,610455.4
50_20_24,556713.2
50_20_25,594778.8
50_20_26,608042.6
50_20_27,568118.6
50_20_28,554896.4
50_20_29,551168.0
50_20_30,511894.2
