instance,solution
50_20_01,603156.8
50_20_02,628299.2
50_20_03,597221.8
50_20_04,673670.2
50_20_05,662485.0
50_20_06,648429.6
50_20_07,572646.8
50_20_08,538258.4
50_20_09,579118.2
50_20_10,604119.0
50_20_11,611548.0
50_20_12,588542.4
50_20_13,557716.8
50_20_14,578776.2
50_20_15,600540.2
50_20_16,555230.8
50_20_17,650034.6
50_20_18,635297.2
50_20_19,468477.4
50_20_20,570591.2
50_20_21,624497.2
50_20_22,649041.4
50_20_23,608324.6
50_20_24,556363.6
50_20_25,591854.6
50_20_26,607154.0
50_20_27,568904.2
50_20_28,553930.8
50_20_29,550478.4
50_20_30,510852.8
