instance,solution
100_20_01,1820321.8
100_20_02,1840078.8
100_20_03,1692778.2
100_20_04,1979614.2
100_20_05,1571947.2
100_20_06,1698669.4
100_20_07,1812634.2
100_20_08,1789408.6
100_20_09,1864808.8
100_20_10,1693896.2
100_20_11,1859442.0
100_20_12,1728955.0
100_20_13,1748227.2
100_20_14,1736916.4
100_20_15,1481378.6
100_20_16,1887703.6
100_20_17,1801010.0
100_20_18,1844274.6
100_20_19,1712026.0
100_20_20,1827482.0
100_20_21,1748137.0
100_20_22,1770592.4
100_20_23,1823584.0
100_20_24,1725256.8
100_20_25,1748976.2
100_20_26,1593610.4
100_20_27,1893720.8
100_20_28,1763265.2
100_20_29,2045078.8
100_20_30,1797108.6
50_20_01,602897.0
50_20_02,629948.8
50_20_03,596780.0
50_20_04,674034.4
50_20_05,661018.8
50_20_06,647132.8
50_20_07,573393.0
50_20_08,538664.8
50_20_09,579676.0
50_20_10,604514.0
50_20_11,609296.2
50_20_12,587362.6
50_20_13,557531.0
50_20_14,578213.8
50_20_15,600621.8
50_20_16,555857.4
50_20_17,651285.2
50_20_18,634541.4
50_20_19,467732.6
50_20_20,570198.8
50_20_21,628532.2
50_20_22,650839.8
50_20_23,610210.2
50_20_24,556689.8
50_20_25,594281.0
50_20_26,605884.8
50_20_27,567127.0
50_20_28,553000.6
50_20_29,550232.6
50_20_30,511543.2
