instance,solution
100_20_01,1832273.0
100_20_02,1845485.8
100_20_03,1717539.6
100_20_04,1994694.4
100_20_05,1591993.4
100_20_06,1702332.6
100_20_07,1822152.8
100_20_08,1795247.6
100_20_09,1893161.0
100_20_10,1715074.0
100_20_11,1879306.2
100_20_12,1730404.8
100_20_13,1757370.0
100_20_14,1769754.2
100_20_15,1495739.4
100_20_16,1906002.4
100_20_17,1830220.8
100_20_18,1866180.4
100_20_19,1729972.2
100_20_20,1847097.4
100_20_21,1752251.2
100_20_22,1795119.2
100_20_23,1836257.0
100_20_24,1737418.6
100_20_25,1757450.8
100_20_26,1620768.8
100_20_27,1918908.2
100_20_28,1790917.2
100_20_29,2070328.4
100_20_30,1814429.8
50_20_01,603896.2
50_20_02,631320.6
50_20_03,600652.6
50_20_04,674695.6
50_20_05,662274.8
50_20_06,651578.8
50_20_07,575120.6
50_20_08,542191.0
50_20_09,579684.0
50_20_10,607208.6
50_20_11,613656.0
50_20_12,591529.0
50_20_13,556699.2
50_20_14,580576.2
50_20_15,602386.4
50_20_16,558238.2
50_20_17,653971.0
50_20_18,639057.4
50_20_19,474006.8
50_20_20,575492.0
50_20_21,635512.2
50_20_22,655250.6
50_20_23,610848.8
50_20_24,559074.4
50_20_25,597688.2
50_20_26,607218.4
50_20_27,570919.6
50_20_28,556182.8
50_20_29,553791.8
50_20_30,515545.4
