instance,solution
50_20_01,601946.4
50_20_02,629798.2
50_20_03,597220.6
50_20_04,673103.2
50_20_05,662353.6
50_20_06,648857.0
50_20_07,573343.0
50_20_08,537422.6
50_20_09,579215.0
50_20_10,605284.8
50_20_11,609597.4
50_20_12,588422.6
50_20_13,557467.6
50_20_14,577536.0
50_20_15,600398.2
50_20_16,555327.6
50_20_17,651865.4
50_20_18,636011.8
50_20_19,468642.6
50_20_20,571165.6
50_20_21,627522.6
50_20_22,651455.6
50_20_23,608313.6
50_20_24,555142.6
50_20_25,593351.0
50_20_26,607008.0
50_20_27,569678.2
50_20_28,554869.4
50_20_29,548285.2
50_20_30,511678.4
