"Instance","Percentage deviation"
"100_20_01","1.66460764127203"
"100_20_02","1.34117945942363"
"100_20_03","0.766435697787934"
"100_20_04","2.00896330294112"
"100_20_05","2.16582526038113"
"100_20_06","2.02896665522454"
"100_20_07","1.58209892463472"
"100_20_08","2.12328509464396"
"100_20_09","0.73062013411223"
"100_20_10","1.75110688103514"
"100_20_11","2.37526840279689"
"100_20_12","1.02380201212887"
"100_20_13","2.17324544759258"
"100_20_14","1.73676543715447"
"100_20_15","2.25314324357895"
"100_20_16","2.29973150293397"
"100_20_17","1.5744494135516"
"100_20_18","1.13569552798504"
"100_20_19","2.16720076862942"
"100_20_20","1.70364696936901"
"100_20_21","2.26874648942146"
"100_20_22","1.47680376838235"
"100_20_23","2.82836879432624"
"100_20_24","1.8805040735905"
"100_20_25","2.10864745011086"
"100_20_26","2.14183355471543"
"100_20_27","1.86667096275293"
"100_20_28","1.87426915773495"
"100_20_29","2.85323481726507"
"100_20_30","1.56229207263691"
