"Instance","Percentage deviation"
"100_20_01","27.1471952056514"
"100_20_02","26.4757823114223"
"100_20_03","33.3356073052837"
"100_20_04","28.6085475538724"
"100_20_05","30.9179969982262"
"100_20_06","29.7541266944891"
"100_20_07","35.0195673869409"
"100_20_08","30.181536304411"
"100_20_09","24.4448379747109"
"100_20_10","28.2500617443843"
"100_20_11","29.7109838683037"
"100_20_12","29.6745539313633"
"100_20_13","30.5133726055709"
"100_20_14","31.0723140374996"
"100_20_15","33.4542142236085"
"100_20_16","26.677965918195"
"100_20_17","30.6142378983489"
"100_20_18","29.4702989566943"
"100_20_19","34.0011577182209"
"100_20_20","28.5573408370658"
"100_20_21","29.2755804156525"
"100_20_22","27.4332146139706"
"100_20_23","29.570471687493"
"100_20_24","35.0340361926256"
"100_20_25","32.7900455128953"
"100_20_26","33.5090553795852"
"100_20_27","25.8632126133093"
"100_20_28","32.0513104658344"
"100_20_29","26.8935614863746"
"100_20_30","26.5836482250275"
"50_20_01","14.658905352283"
"50_20_02","16.1711084901871"
"50_20_03","14.7426633712642"
"50_20_04","14.4268782411595"
"50_20_05","14.7287945813983"
"50_20_06","12.1438409187712"
"50_20_07","16.93718328543"
"50_20_08","13.9401650450952"
"50_20_09","13.4136875716877"
"50_20_10","14.7901495543331"
"50_20_11","14.8750893637302"
"50_20_12","16.1462789220796"
"50_20_13","13.1702252941869"
"50_20_14","18.5424309804976"
"50_20_15","11.6141949181011"
"50_20_16","15.7282722864508"
"50_20_17","15.9618011980786"
"50_20_18","16.4218183203054"
"50_20_19","17.4928035608411"
"50_20_20","16.869400608591"
"50_20_21","13.058641700585"
"50_20_22","11.0290882044483"
"50_20_23","15.2374961828007"
"50_20_24","17.4020345316395"
"50_20_25","15.3042987233435"
"50_20_26","15.0152924557218"
"50_20_27","16.0312584247343"
"50_20_28","16.3182487009125"
"50_20_29","16.0819099606738"
"50_20_30","16.4483415486734"
