"Instance","Percentage deviation"
"100_20_01","2.42323294887033"
"100_20_02","2.8668662255752"
"100_20_03","2.76603090696955"
"100_20_04","3.16128799884743"
"100_20_05","3.81556634114964"
"100_20_06","2.82388153180008"
"100_20_07","3.40407495038069"
"100_20_08","3.67649489589449"
"100_20_09","3.96108369596907"
"100_20_10","3.50370767497756"
"100_20_11","3.21002037108408"
"100_20_12","2.14752106191794"
"100_20_13","3.09007899207744"
"100_20_14","3.97534735425747"
"100_20_15","3.6803207419573"
"100_20_16","3.49590758504212"
"100_20_17","2.85164121171209"
"100_20_18","3.38779940899447"
"100_20_19","3.83996037500523"
"100_20_20","3.03588138330642"
"100_20_21","3.44051909754728"
"100_20_22","3.48931525735294"
"100_20_23","3.74319486659913"
"100_20_24","3.81532662574368"
"100_20_25","3.53931613957288"
"100_20_26","3.78159803821396"
"100_20_27","3.37331915624866"
"100_20_28","4.31072556115411"
"100_20_29","3.86292747323351"
"100_20_30","2.53413538930781"
"50_20_01","2.28175923126029"
"50_20_02","2.61467167570242"
"50_20_03","2.0615947835916"
"50_20_04","1.64540271008564"
"50_20_05","2.44225603749456"
"50_20_06","1.66132437112735"
"50_20_07","1.73866902498342"
"50_20_08","1.66518510722669"
"50_20_09","2.39823183431477"
"50_20_10","1.53156287190926"
"50_20_11","1.83437260041835"
"50_20_12","1.53933847884027"
"50_20_13","1.5655907744431"
"50_20_14","1.89163527962104"
"50_20_15","2.39341046210075"
"50_20_16","1.20513094950865"
"50_20_17","1.06454664037241"
"50_20_18","1.69381738090023"
"50_20_19","2.22260412280778"
"50_20_20","1.85729955417167"
"50_20_21","3.06390140879261"
"50_20_22","2.19725331665282"
"50_20_23","1.21157905917654"
"50_20_24","1.53630855071755"
"50_20_25","1.56260311391259"
"50_20_26","1.3332089502512"
"50_20_27","1.85567631993416"
"50_20_28","1.56068743872873"
"50_20_29","2.18139197041732"
"50_20_30","1.14019756092771"
