"Instance","Percentage deviation"
"100_20_01","3.53164705291528"
"100_20_02","3.33280682182188"
"100_20_03","4.24818439412338"
"100_20_04","3.89255356371046"
"100_20_05","4.87547836708704"
"100_20_06","3.96397535726545"
"100_20_07","4.19938550555624"
"100_20_08","4.44637981840669"
"100_20_09","4.81769590428576"
"100_20_10","4.57374689019137"
"100_20_11","5.07337994824644"
"100_20_12","3.07840525350254"
"100_20_13","4.47561053928295"
"100_20_14","4.50374703834791"
"100_20_15","4.63193342258167"
"100_20_16","4.77260030747244"
"100_20_17","4.2545495457486"
"100_20_18","5.01226418714809"
"100_20_19","4.98556432795651"
"100_20_20","4.02427612847367"
"100_20_21","5.39701132746676"
"100_20_22","4.59242876838235"
"100_20_23","5.49406731959924"
"100_20_24","5.06596321657086"
"100_20_25","4.12228964873381"
"100_20_26","4.77956728313068"
"100_20_27","4.99785195686729"
"100_20_28","5.61880190928033"
"100_20_29","5.21702815437976"
"100_20_30","4.00352452766245"
"50_20_01","3.23152907972987"
"50_20_02","4.07036645445751"
"50_20_03","3.33404752465226"
"50_20_04","3.20022921570128"
"50_20_05","5.75594877536911"
"50_20_06","4.09924544609462"
"50_20_07","3.64756135308424"
"50_20_08","2.73081787719156"
"50_20_09","3.86066966132854"
"50_20_10","2.99568065114808"
"50_20_11","2.74730584902162"
"50_20_12","2.35967538458641"
"50_20_13","4.97027783565391"
"50_20_14","3.90307075262587"
"50_20_15","4.27134142244796"
"50_20_16","2.73864702136807"
"50_20_17","2.9439783876013"
"50_20_18","2.65293103940742"
"50_20_19","3.06869054881978"
"50_20_20","2.57947066732714"
"50_20_21","4.06512327946852"
"50_20_22","4.25567868846338"
"50_20_23","3.24020473465486"
"50_20_24","2.9927782997775"
"50_20_25","3.84874698524685"
"50_20_26","3.30990044911176"
"50_20_27","3.04085020645034"
"50_20_28","2.29843454727005"
"50_20_29","4.34407466103186"
"50_20_30","3.39199937157558"
