"Instance","Percentage deviation"
"100_20_01","1.56870951001892"
"100_20_02","1.64573139076359"
"100_20_03","0.650772674238633"
"100_20_04","1.97090785601086"
"100_20_05","2.24671721601726"
"100_20_06","1.97669418800022"
"100_20_07","1.63431973895199"
"100_20_08","1.9285254236322"
"100_20_09","0.726970380848516"
"100_20_10","1.9943737312282"
"100_20_11","2.37526840279689"
"100_20_12","0.987216788773204"
"100_20_13","2.27455147329273"
"100_20_14","1.79801679000789"
"100_20_15","2.55947665511958"
"100_20_16","2.13658705584306"
"100_20_17","1.4008044328186"
"100_20_18","1.08010372750149"
"100_20_19","2.16720076862942"
"100_20_20","1.58036819349862"
"100_20_21","2.28808977719528"
"100_20_22","1.64634650735295"
"100_20_23","2.30131712259372"
"100_20_24","1.87765640047027"
"100_20_25","1.90345431205508"
"100_20_26","2.382446101972"
"100_20_27","2.202055677278"
"100_20_28","1.87074841710964"
"100_20_29","2.74303669757006"
"100_20_30","1.02424807252394"
"50_20_01","1.12770890031248"
"50_20_02","0.898959093231692"
"50_20_03","0.641118862242609"
"50_20_04","0.813445721031887"
"50_20_05","1.22487564015492"
"50_20_06","0.796307753531041"
"50_20_07","1.23337607782444"
"50_20_08","1.22342354871387"
"50_20_09","1.22800922490865"
"50_20_10","0.504406734522337"
"50_20_11","1.22686472317102"
"50_20_12","0.714893383932534"
"50_20_13","1.08644883095236"
"50_20_14","0.596173514802244"
"50_20_15","0.844486099353685"
"50_20_16","0.651654533481596"
"50_20_17","0.744038971556444"
"50_20_18","1.14731206342254"
"50_20_19","0.575027711661236"
"50_20_20","0.794883589271814"
"50_20_21","1.52159312515678"
"50_20_22","1.39332094742837"
"50_20_23","1.22067395143195"
"50_20_24","0.846653378303756"
"50_20_25","0.70520561551989"
"50_20_26","1.02456121646655"
"50_20_27","0.970352029740199"
"50_20_28","0.718467686050966"
"50_20_29","0.942177319950691"
"50_20_30","0.316843738339786"
