"Instance","Percentage deviation"
"100_20_01","25.7082991557438"
"100_20_02","23.6607093546"
"100_20_03","30.101590589804"
"100_20_04","25.1719184143907"
"100_20_05","27.0785594084816"
"100_20_06","30.6326413855817"
"100_20_07","28.4319290415905"
"100_20_08","29.7536919981533"
"100_20_09","19.7753026163764"
"100_20_10","24.1824019469059"
"100_20_11","25.8783791223917"
"100_20_12","27.2641357310618"
"100_20_13","26.0204690483002"
"100_20_14","29.6750694708515"
"100_20_15","29.581158480202"
"100_20_16","24.9030703938679"
"100_20_17","27.8516243354991"
"100_20_18","30.6999303731887"
"100_20_19","27.512779657578"
"100_20_20","26.1892361400179"
"100_20_21","24.8075266803969"
"100_20_22","23.9181410845588"
"100_20_23","26.424406169087"
"100_20_24","29.1451781568111"
"100_20_25","27.4638464231532"
"100_20_26","27.724660263615"
"100_20_27","25.6276045022984"
"100_20_28","31.1697170132576"
"100_20_29","24.521887533066"
"100_20_30","26.885684430512"
"50_20_01","9.89486946880354"
"50_20_02","10.3716284615212"
"50_20_03","12.5281866569941"
"50_20_04","11.0866294341162"
"50_20_05","11.6859095553638"
"50_20_06","9.352644358567"
"50_20_07","10.0066681406146"
"50_20_08","10.6410673241909"
"50_20_09","11.6924495065442"
"50_20_10","12.3145551237131"
"50_20_11","8.46403606322981"
"50_20_12","14.833609780229"
"50_20_13","9.80789752602161"
"50_20_14","12.8858512201678"
"50_20_15","8.02827830854195"
"50_20_16","10.0737424330105"
"50_20_17","9.10960132048294"
"50_20_18","10.4094981481658"
"50_20_19","10.698119044141"
"50_20_20","10.0273158304437"
"50_20_21","10.4473341371246"
"50_20_22","9.17493690346151"
"50_20_23","9.37424485839849"
"50_20_24","10.6526324174501"
"50_20_25","10.3211541274479"
"50_20_26","10.6384183802657"
"50_20_27","9.13287313591668"
"50_20_28","12.2807011162058"
"50_20_29","9.90362886658449"
"50_20_30","9.64384045874983"
