"Instance","Percentage deviation"
"100_20_01","1.63227703656583"
"100_20_02","1.67816155435035"
"100_20_03","0.830523608829205"
"100_20_04","2.02280445386626"
"100_20_05","2.00236503388366"
"100_20_06","2.33238785207133"
"100_20_07","1.27963982551946"
"100_20_08","2.41932891414501"
"100_20_09","0.766761329892346"
"100_20_10","1.74032420319626"
"100_20_11","2.37526840279689"
"100_20_12","1.0238604363118"
"100_20_13","2.25172375542231"
"100_20_14","1.64206277239887"
"100_20_15","2.48644023351781"
"100_20_16","2.0576510837321"
"100_20_17","1.32266756673135"
"100_20_18","1.16778965027605"
"100_20_19","2.16720076862942"
"100_20_20","1.60180267181716"
"100_20_21","2.16167384384947"
"100_20_22","1.58690257352941"
"100_20_23","2.84479342564449"
"100_20_24","1.93835555739361"
"100_20_25","1.84741510094527"
"100_20_26","1.88360835802596"
"100_20_27","2.05323924904413"
"100_20_28","2.37382185052436"
"100_20_29","2.60926700230396"
"100_20_30","1.51151402185885"
