"Instance","Percentage deviation"
"100_20_01","3.72362187588931"
"100_20_02","3.54095191808512"
"100_20_03","4.13127128128199"
"100_20_04","3.90874102126084"
"100_20_05","5.30205511048736"
"100_20_06","4.06183567896997"
"100_20_07","4.44590094080445"
"100_20_08","4.56527612327369"
"100_20_09","5.0250083685171"
"100_20_10","4.69444059587849"
"100_20_11","5.23107416175742"
"100_20_12","3.48773676400136"
"100_20_13","4.40320405410928"
"100_20_14","4.51480387281716"
"100_20_15","4.69051989455815"
"100_20_16","4.89551350063877"
"100_20_17","4.55413607853065"
"100_20_18","4.92301029051376"
"100_20_19","5.01461470063435"
"100_20_20","4.0007215127347"
"100_20_21","5.50057339449541"
"100_20_22","4.59317555147059"
"100_20_23","5.41302487898233"
"100_20_24","5.29718009464673"
"100_20_25","4.31711985062435"
"100_20_26","4.96375293757024"
"100_20_27","4.93529020062723"
"100_20_28","5.62474676640175"
"100_20_29","5.18116884094708"
"100_20_30","3.97730520489141"
"50_20_01","3.41017370560764"
"50_20_02","4.32177163038971"
"50_20_03","3.33242794118888"
"50_20_04","3.07278048546326"
"50_20_05","5.98557854096685"
"50_20_06","4.60312081256781"
"50_20_07","3.83713464514702"
"50_20_08","2.85316399077611"
"50_20_09","3.72407676716184"
"50_20_10","3.2830047354711"
"50_20_11","2.81631450737415"
"50_20_12","2.64314043673473"
"50_20_13","5.64396814900035"
"50_20_14","4.08350408584284"
"50_20_15","4.24030179653593"
"50_20_16","2.82521501406821"
"50_20_17","2.19023361914947"
"50_20_18","2.73093975429476"
"50_20_19","3.09262139426176"
"50_20_20","3.54426438327082"
"50_20_21","4.28114354148292"
"50_20_22","4.40602116807175"
"50_20_23","2.7135971958522"
"50_20_24","3.51077099660911"
"50_20_25","3.98791037211153"
"50_20_26","3.68538187827338"
"50_20_27","3.04038906309859"
"50_20_28","2.62603922453069"
"50_20_29","4.66326964841228"
"50_20_30","3.76654032717346"
