instance,solution
100_20_01,1858841.4
100_20_02,1874774.6
100_20_03,1749280.4
100_20_04,2019445.6
100_20_05,1620693.4
100_20_06,1727978.0
100_20_07,1862876.2
100_20_08,1834566.4
100_20_09,1945252.2
100_20_10,1738001.0
100_20_11,1911312.0
100_20_12,1771316.8
100_20_13,1788249.4
100_20_14,1786523.8
100_20_15,1517112.2
100_20_16,1937755.8
100_20_17,1858606.6
100_20_18,1913806.2
100_20_19,1759740.4
100_20_20,1873853.8
100_20_21,1803131.4
100_20_22,1820758.0
100_20_23,1872767.8
100_20_24,1782270.6
100_20_25,1787786.8
100_20_26,1643648.4
100_20_27,1954063.0
100_20_28,1830043.8
100_20_29,2095450.8
100_20_30,1840866.2
50_20_01,615559.4
50_20_02,649238.2
50_20_03,612497.8
50_20_04,687104.8
50_20_05,692878.6
50_20_06,672905.6
50_20_07,587069.2
50_20_08,547278.6
50_20_09,594128.4
50_20_10,620508.8
50_20_11,621290.2
50_20_12,599640.2
50_20_13,583096.6
50_20_14,596350.6
50_20_15,620613.4
50_20_16,566816.8
50_20_17,661207.6
50_20_18,647396.0
50_20_19,479904.4
50_20_20,585273.6
50_20_21,644358.4
50_20_22,670982.0
50_20_23,618886.4
50_20_24,571755.2
50_20_25,611388.6
50_20_26,622419.2
50_20_27,580958.2
50_20_28,564247.2
50_20_29,570607.4
50_20_30,528389.6
