instance,solution
100_20_01,2310654.2
100_20_02,2304352.4
100_20_03,2234046.8
100_20_04,2514232.2
100_20_05,2019419.2
100_20_06,2191037.6
100_20_07,2390526.8
100_20_08,2358339.4
100_20_09,2345577.4
100_20_10,2141850.0
100_20_11,2347925.6
100_20_12,2274932.4
100_20_13,2254563.2
100_20_14,2272012.8
100_20_15,1981863.8
100_20_16,2384480.4
100_20_17,2331261.0
100_20_18,2416525.2
100_20_19,2275244.6
100_20_20,2337013.8
100_20_21,2241193.4
100_20_22,2245793.6
100_20_23,2317175.4
100_20_24,2314723.8
100_20_25,2317195.0
100_20_26,2147697.2
100_20_27,2412040.6
100_20_28,2331029.2
100_20_29,2598460.2
100_20_30,2293202.8
50_20_01,691202.6
50_20_02,737240.0
50_20_03,707291.6
50_20_04,793329.8
50_20_05,768556.4
50_20_06,746679.0
50_20_07,670128.4
50_20_08,632166.0
50_20_09,674374.2
50_20_10,709581.6
50_20_11,712870.8
50_20_12,697356.2
50_20_13,641857.2
50_20_14,686807.8
50_20_15,697489.4
50_20_16,659102.2
50_20_17,766808.0
50_20_18,739462.0
50_20_19,562855.4
50_20_20,667725.8
50_20_21,724658.4
50_20_22,741394.4
50_20_23,694483.2
50_20_24,656115.6
50_20_25,692697.8
50_20_26,692714.2
50_20_27,674258.2
50_20_28,656756.4
50_20_29,660706.6
50_20_30,613358.8
