instance,solution
100_20_01,1821941.6
100_20_02,1834944.2
100_20_03,1692755.2
100_20_04,1982523.8
100_20_05,1572424.0
100_20_06,1694221.6
100_20_07,1811798.0
100_20_08,1791722.4
100_20_09,1865712.4
100_20_10,1689139.6
100_20_11,1859442.0
100_20_12,1729143.6
100_20_13,1750054.0
100_20_14,1739037.4
100_20_15,1481791.2
100_20_16,1889803.4
100_20_17,1805638.2
100_20_18,1844725.2
100_20_19,1712026.0
100_20_20,1832465.8
100_20_21,1747895.6
100_20_22,1766508.2
100_20_23,1826848.8
100_20_24,1724439.6
100_20_25,1749938.0
100_20_26,1599459.4
100_20_27,1896920.4
100_20_28,1765063.4
100_20_29,2049073.0
100_20_30,1798109.6
