instance,solution
100_20_01,1819118.4
100_20_02,1836932.0
100_20_03,1693219.0
100_20_04,1977446.8
100_20_05,1571089.8
100_20_06,1699031.8
100_20_07,1809927.0
100_20_08,1789487.8
100_20_09,1866480.4
100_20_10,1688597.6
100_20_11,1859442.0
100_20_12,1728425.4
100_20_13,1751688.8
100_20_14,1737395.8
100_20_15,1481120.8
100_20_16,1883511.8
100_20_17,1807074.2
100_20_18,1844845.4
100_20_19,1712026.0
100_20_20,1830526.6
100_20_21,1744853.4
100_20_22,1768696.8
100_20_23,1815730.8
100_20_24,1728700.0
100_20_25,1746513.6
100_20_26,1600684.8
100_20_27,1897948.0
100_20_28,1763099.0
100_20_29,2044538.6
100_20_30,1794408.6
