instance,solution
100_20_01,1822784.6
100_20_02,1837474.6
100_20_03,1692185.4
100_20_04,1985744.4
100_20_05,1566420.2
100_20_06,1694666.8
100_20_07,1808438.8
100_20_08,1790938.0
100_20_09,1865430.4
100_20_10,1687282.0
100_20_11,1859442.0
100_20_12,1722252.8
100_20_13,1749758.0
100_20_14,1738535.6
100_20_15,1484689.2
100_20_16,1887672.2
100_20_17,1801313.8
100_20_18,1845161.0
100_20_19,1712026.0
100_20_20,1829667.8
100_20_21,1745214.6
100_20_22,1770339.4
100_20_23,1828487.2
100_20_24,1728152.0
100_20_25,1750636.6
100_20_26,1595480.8
100_20_27,1899031.6
100_20_28,1768516.0
100_20_29,2038491.2
100_20_30,1796263.6
50_20_01,604241.6
50_20_02,631590.2
50_20_03,597462.4
50_20_04,674180.2
50_20_05,660406.6
50_20_06,649616.2
50_20_07,574325.4
50_20_08,537294.0
50_20_09,580050.0
50_20_10,605790.2
50_20_11,612214.4
50_20_12,590309.0
50_20_13,558093.0
50_20_14,578564.0
50_20_15,600734.2
50_20_16,554932.8
50_20_17,655345.0
50_20_18,637012.2
50_20_19,468976.4
50_20_20,571058.8
50_20_21,626209.0
50_20_22,650358.8
50_20_23,610452.2
50_20_24,556939.0
50_20_25,596202.4
50_20_26,605927.2
50_20_27,568724.8
50_20_28,555150.4
50_20_29,550987.2
50_20_30,512182.4
