instance,solution
50_20_01,599834.2
50_20_02,627916.6
50_20_03,595750.0
50_20_04,673479.6
50_20_05,662565.8
50_20_06,647723.2
50_20_07,571909.2
50_20_08,536094.2
50_20_09,579018.4
50_20_10,603832.2
50_20_11,609924.4
50_20_12,587522.6
50_20_13,556663.6
50_20_14,577636.6
50_20_15,599074.6
50_20_16,553580.6
50_20_17,652770.6
50_20_18,636030.6
50_20_19,467984.2
50_20_20,569983.0
50_20_21,625027.4
50_20_22,649707.4
50_20_23,607993.6
50_20_24,555328.8
50_20_25,590845.0
50_20_26,606241.4
50_20_27,569411.6
50_20_28,553283.6
50_20_29,549763.8
50_20_30,511454.2
