instance,solution
100_20_01,2387011.0
100_20_02,2374254.8
100_20_03,2283823.8
100_20_04,2563874.6
100_20_05,2064124.4
100_20_06,2237398.4
100_20_07,2413709.4
100_20_08,2364649.4
100_20_09,2406229.0
100_20_10,2210530.8
100_20_11,2378668.8
100_20_12,2301218.8
100_20_13,2273832.8
100_20_14,2300611.0
100_20_15,2012944.4
100_20_16,2439495.4
100_20_17,2382919.4
100_20_18,2441029.2
100_20_19,2295895.0
100_20_20,2381143.6
100_20_21,2254428.2
100_20_22,2253185.4
100_20_23,2359491.4
100_20_24,2333554.4
100_20_25,2310646.2
100_20_26,2166051.4
100_20_27,2439013.8
100_20_28,2371100.6
100_20_29,2573117.0
100_20_30,2346199.6
50_20_01,713524.8
50_20_02,756852.2
50_20_03,722876.8
50_20_04,814833.4
50_20_05,782901.4
50_20_06,769805.8
50_20_07,697491.4
50_20_08,642300.2
50_20_09,697496.0
50_20_10,733958.8
50_20_11,712466.6
50_20_12,714639.2
50_20_13,661995.2
50_20_14,720942.0
50_20_15,709081.0
50_20_16,671789.6
50_20_17,778693.6
50_20_18,757971.2
50_20_19,568501.2
50_20_20,686126.2
50_20_21,733411.2
50_20_22,753994.6
50_20_23,715742.0
50_20_24,663626.0
50_20_25,715196.6
50_20_26,713503.0
50_20_27,694953.4
50_20_28,672100.6
50_20_29,656379.6
50_20_30,628510.8
